run,score,time,step
7,2112,17832.4,1135
7,2108,19035.5,1212
7,2106,20175.6,1285
7,2094,21175.5,1349
7,2105,22191,1414
7,2102,23332.4,1486
7,2086,24285.6,1547
7,2098,25504.4,1625
7,2096,26566.9,1693
7,2099,27645,1762
7,2118,28737.9,1832
7,2092,29629.6,1889
7,2074,30629.4,1952
7,2086,31769.7,2025
7,2100,32754.4,2088
7,2080,33770.1,2153
7,2112,34888.2,2225
7,2109,36020.1,2298
7,2092,37051.4,2364
7,2087,38160.8,2435
7,2102,39285.8,2508
7,2096,40301.4,2573
7,2094,41253.6,2633
7,2093,42254.7,2697
7,2090,43174.1,2756
7,2094,44363.9,2832
7,2093,45395.2,2896
7,2079,46357.6,2958
7,2106,47482.9,3029
7,2076,48453.6,3091
7,2080,49520.6,3159
7,2104,50597.3,3227
7,2097,58444.4,3295
7,2111,59431.8,3359
7,2102,60458.3,3426
7,2104,61429.4,3489
7,2107,62456,3556
7,2111,63538.2,3626
7,2083,64424.9,3684
7,2079,65429.2,3749
7,2121,66594.1,3825
7,2103,67716.9,3898
7,2103,68849.2,3971
7,2083,69847.7,4036
7,2103,70996.9,4110
7,2089,72118.9,4183
7,2087,73002.6,4240
7,2097,74131.4,4312
7,2098,75282.4,4387
7,2088,76282,4452
7,2099,77439.5,4527
7,2127,78735.9,4612
7,2082,79572.8,4666
7,2089,80553.4,4730
7,2083,81521.1,4793
7,2082,82614.6,4864
7,2084,83620.2,4929
7,2105,84638.8,4995
7,2084,85616.6,5059
7,2102,86649.7,5126
7,2090,87759.7,5197
7,2098,88893.9,5271
7,2108,90007.8,5344
7,2094,91182.7,5420
7,2099,92202.5,5486
7,2083,93014.9,5539
7,2096,94071.1,5608
7,2078,94948.6,5665
7,2112,96192.3,5746
7,2096,97394.4,5824
7,2097,98409.3,5890
7,2085,99338.9,5950
7,2102,100519,6026
7,2075,101533,6092
7,2112,102609,6162
7,2080,103494,6219
7,2101,104565,6289
7,2097,105560,6354
7,2083,106667,6426
7,2106,107868,6504
7,2104,109030,6579
7,2089,109928,6638
7,2100,110911,6701
7,2100,111972,6770
7,2076,112845,6827
7,2093,114012,6903
7,2101,115122,6975
7,2087,116128,7040
7,2096,117487,7128
7,2084,118573,7199
7,2088,119525,7261
7,2063,120371,7316
7,2104,121465,7387
7,2084,122323,7443
7,2082,123237,7502
7,2099,124100,7558
7,2096,125095,7622
7,2101,126024,7683
7,2094,127000,7745
7,2089,127968,7808
7,2100,129100,7882
7,2085,129991,7940
7,2093,130988,8004
7,2091,132290,8089
7,2100,133476,8165
7,2102,134602,8238
7,2080,135623,8304
7,2110,136737,8376
7,2074,137578,8430
7,2096,138683,8501
7,2082,139618,8562
7,2101,140655,8629
7,2086,141796,8703
7,2087,142843,8771
7,2095,143780,8832
7,2087,144806,8899
7,2088,145799,8963
7,2100,146779,9027
7,2088,147873,9098
7,2083,149012,9170
7,2089,149843,9224
8,2101,1163.6,75
8,2104,2192.81,141
8,2100,3269.92,210
8,2116,4389.12,282
8,2093,5404.38,348
8,2093,6350.35,410
8,2099,7282.15,470
8,2085,8227.49,532
8,2098,9569.02,619
8,2107,10698,692
8,2106,11800.6,764
8,2088,12882.4,834
8,2098,13929.4,902
8,2101,15105.5,977
8,2110,16404.2,1061
8,2099,17419.6,1127
8,2078,18321,1186
8,2083,19232.8,1244
8,2100,20488.1,1326
8,2106,21711,1405
8,2105,22753.1,1472
8,2078,23640.6,1530
8,2089,24622.1,1594
8,2087,25519.4,1652
8,2099,26585.1,1721
8,2095,27629.3,1789
8,2077,28652.7,1854
8,2086,29579.6,1913
8,2093,30484.9,1971
8,2097,31646.7,2046
8,2098,32735.8,2116
8,2084,33782.8,2182
8,2087,34797.6,2246
8,2096,35860.3,2314
8,2096,37016.9,2388
8,2088,38110.4,2458
8,2116,39249.4,2532
8,2094,40240.7,2597
8,2088,41266.6,2662
8,2098,42235.8,2725
8,2092,43423.3,2800
8,2104,44720.4,2883
8,2111,45720.2,2945
8,2115,46860.3,3018
8,2124,48095.3,3097
