run,score,time,iteration,step
9,2102,173.415,1,67
9,2104,175.701,1,68
9,2105,178.029,1,69
9,2106,180.376,1,70
9,2107,182.712,1,71
9,2109,244.51,1,73
9,2111,246.963,1,74
9,2112,249.291,1,75
9,2113,313.612,1,77
9,2114,539.84,2,144
9,2115,542.21,2,145
9,2116,544.535,2,146
9,2118,607.103,2,148
9,2119,671.349,2,150
9,2120,673.843,2,151
9,2121,676.291,2,152
9,2122,681.023,2,153
9,2123,746.137,2,155
9,2124,808.971,2,157
9,2125,811.752,2,158
9,2127,5417.33,9,776
9,2128,5420.39,9,777
9,2129,5487.22,9,779
9,2130,5555.27,9,781
9,2131,54314.2,82,7270
9,2132,54316.7,82,7271
9,2133,54381.4,82,7273
9,2134,54447.3,82,7275
9,2135,86775.4,135,11746
9,2136,116694,174,15371
10,1879,3.57689,1,1
10,1886,6.51586,1,2
10,1893,9.40824,1,3
10,1900,12.1964,1,4
10,1906,14.8259,1,5
10,1912,17.2805,1,6
10,1918,19.7351,1,7
10,1924,22.1577,1,8
10,1930,24.6249,1,9
10,1936,27.1293,1,10
10,1942,29.679,1,11
10,1947,32.0902,1,12
10,1952,34.5022,1,13
10,1957,36.9421,1,14
10,1962,39.3439,1,15
10,1966,41.7531,1,16
10,1970,44.199,1,17
10,1974,46.6275,1,18
10,1978,49.0738,1,19
10,1982,51.515,1,20
10,1986,53.9167,1,21
10,1991,56.5114,1,22
10,1995,59.1109,1,23
10,1999,61.8095,1,24
10,2003,64.2581,1,25
10,2008,66.6626,1,26
10,2012,69.0848,1,27
10,2015,71.4826,1,28
10,2018,73.9992,1,29
10,2021,76.5154,1,30
10,2024,78.908,1,31
10,2029,81.2777,1,32
10,2033,83.649,1,33
10,2037,86.0436,1,34
10,2042,88.4311,1,35
10,2045,92.5188,1,36
10,2048,97.263,1,37
10,2051,101.65,1,38
10,2053,104.268,1,39
10,2055,107.74,1,40
10,2057,111.854,1,41
10,2059,115.111,1,42
10,2061,118.279,1,43
10,2064,121.135,1,44
10,2066,125.408,1,45
10,2069,128.866,1,46
10,2072,131.548,1,47
10,2074,135.015,1,48
10,2076,137.723,1,49
10,2078,140.239,1,50
10,2080,142.692,1,51
10,2082,145.123,1,52
10,2085,147.543,1,53
10,2086,150.525,1,54
10,2087,153.378,1,55
10,2088,155.973,1,56
10,2089,158.489,1,57
10,2090,161.051,1,58
10,2092,163.57,1,59
10,2093,166.005,1,60
10,2095,168.546,1,61
10,2097,170.965,1,62
10,2098,173.348,1,63
10,2099,175.741,1,64
10,2100,178.155,1,65
10,2101,180.573,1,66
10,2102,183.048,1,67
10,2104,185.597,1,68
10,2105,187.984,1,69
10,2107,190.428,1,70
10,2108,192.863,1,71
10,2109,195.304,1,72
10,2110,197.712,1,73
10,2111,200.168,1,74
10,2112,202.616,1,75
10,2114,268.622,1,77
10,2115,335.149,1,79
10,2116,400.066,1,81
10,2117,2934.91,5,430
10,2119,3001.87,5,432
10,2120,3005.06,5,433
10,2121,11030.3,18,1532
10,2122,11032.9,18,1533
10,2123,11099.5,18,1535
10,2125,11166.7,18,1537
10,2126,11169.8,18,1538
10,2127,11236.5,18,1540
10,2128,11301.1,18,1542
10,2129,18450.1,30,2566
10,2130,18452.5,30,2567
10,2131,18515.8,30,2569
10,2133,18518.6,30,2570
10,2134,18521.3,30,2571
10,2136,18523.9,30,2572
10,2137,137538,213,18761
10,2138,137604,213,18763
10,2139,137607,213,18764
10,2140,137671,213,18766
